Cluster Number,Color Value (Red),Color Value (Green),Color Value (Blue),ROI001,Total Pixels
1,62,175,80,754,754
2,85,196,66,906,906
3,244,177,101,461,461
4,15,128,216,741,741
5,155,178,14,534,534
6,8,29,177,192,192
7,33,182,161,829,829
8,49,231,118,1009,1009
9,18,181,229,814,814
10,32,184,128,916,916
11,26,128,148,609,609
12,155,189,50,378,378
13,22,153,189,916,916
14,112,194,54,656,656
15,67,218,82,932,932
16,226,178,85,428,428
17,28,209,191,846,846
18,45,151,101,738,738
19,44,201,98,786,786
20,38,229,157,923,923
