m/z,Intensity
175.023713911,0.0000000
197.005657911,1.8365028
212.980147911,0.0000000
105.114815075,0.0173579
127.096759075,0.0000000
143.071249075,1.5685606
203.223022856,8475.0433109
225.204966856,0.2034946
241.179456856,0.0284642
162.112469347,0.1810585
184.094413347,0.0000000
200.068903347,0.0000000
146.165173626,2322.0938019
168.147117626,0.0000000
184.121607626,0.0000000
149.044449356,0.0876227
171.026393356,0.0000000
187.000883356,0.0000000
185.081145965,50.9289446
207.063089965,0.4707886
223.037579965,0.4405375
131.129122469,0.0000000
153.111066469,0.0000000
169.085556469,0.3529452
339.070026456,0.0000000
361.051970456,0.0000000
377.026460456,0.0000000
197.066916134,5.7167246
219.048860134,0.0000000
235.023350134,0.3866847
102.054954469,0.1969314
124.036898469,0.0000000
140.011388469,0.0000000
170.092402607,4.6195442
192.074346607,1.7475924
208.048836607,0.0000000
132.076752543,7689.8357616
154.058696543,3.3564692
170.033186543,39.3046651
168.989650877,0.0000000
190.971594877,0.0000000
206.946084877,0.0000000
104.070604534,1.2286371
126.052548534,0.0000000
142.027038534,1.2725171
126.021940263,0.0000000
148.003884263,0.1507652
163.978374263,0.0839393
412.041777079,0.0000000
434.023721079,0.0000000
228.097881911,0.4157036
250.079825911,23.1018192
266.054315911,0.0000000
253.093130883,0.0055624
275.075074883,0.1183278
291.049564883,0.0000000
193.034278595,0.0000000
215.016222595,0.0000000
230.990712595,0.0000000
114.066187858,110.7058167
136.048131858,1.1738097
152.022621858,0.4708409
177.075749485,0.0000000
199.057693485,0.0000000
215.032183485,0.0000000
187.000215561,0.0000000
208.982159561,0.0000000
224.956649561,0.0000000
167.070270181,0.1229791
189.052214181,2.2936479
205.026704181,0.0000000
169.049534736,0.0000000
191.031478736,127.6473891
207.005968736,0.0000000
105.054620117,0.0000000
127.036564117,0.0000000
143.011054117,0.0000000
189.148520503,0.0000000
211.130464503,0.1360277
227.104954503,0.2967347
153.054620117,0.2164927
175.036564117,0.1435306
191.011054117,0.0000000
168.101904663,0.0000000
190.083848663,0.0000000
206.058338663,36.3510460
161.080834865,0.3353284
183.062778865,0.0000000
199.037268865,0.0000000
170.081169218,0.7786337
192.063113218,79.6752134
208.037603218,0.0000000
146.081169218,0.4924815
168.063113218,0.0000000
184.037603218,0.0000000
138.054954469,11.1931028
160.036898469,0.0000000
176.011388469,0.0000000
165.054620117,75.4144129
187.036564117,0.1040683
203.011054117,0.0960449
241.085920245,0.3274469
263.067864245,0.0000000
279.042354245,0.0000000
127.050203441,0.0000000
149.032147441,0.0000000
165.006637441,0.0000000
132.065519153,0.4599410
154.047463153,0.1516723
170.021953153,0.0000000
118.086254598,0.0000000
140.068198598,0.0000000
156.042688598,0.0136249
192.065519153,86.2885725
214.047463153,0.1308848
230.021953153,0.0000000
308.091082453,171.1596248
330.073026453,0.0970536
346.047516453,0.0000000
258.108446595,0.5397379
280.090390595,0.1680409
296.064880595,0.0000000
126.066187858,0.0000000
148.048131858,1.6914638
164.022621858,0.0000000
130.049869089,55.2481199
152.031813089,0.0000000
168.006303089,0.0000000
132.101904663,0.0000000
154.083848663,0.0000000
170.058338663,57.6922166
137.045786766,0.1768440
159.027730766,0.0000000
175.002220766,0.0000000
277.031909613,0.0000000
299.013853613,0.0000000
314.988343613,0.0000000
204.123034031,0.2448803
226.104978031,0.0988194
242.079468031,0.4612630
164.128119411,0.0000000
186.110063411,0.0000000
202.084553411,0.0273550
268.104029919,23.6537120
290.085973919,0.7403208
306.060463919,0.0000000
428.036691698,0.0000000
147.065184801,427.1760449
169.047128801,0.0000000
185.021618801,0.1465974
159.051266070,0.1444005
181.033210070,0.0000000
197.007700070,1.1293587
261.036994994,0.0000000
283.018938994,0.0000000
298.993428994,0.0000000
147.028799291,0.2734418
169.010743291,0.0000000
184.985233291,0.0000000
189.112134994,1.1955101
211.094078994,4.1955202
227.068568994,0.0586393
123.044055433,10.6765018
145.025999433,0.1687741
161.000489433,0.0000000
119.070270181,0.1795433
141.052214181,0.0000000
157.026704181,0.0000000
89.107324396,0.8789984
111.089268396,0.0000000
127.063758396,0.0000000
89.059705497,0.0000000
111.041649497,0.0000000
127.016139497,0.0000000
404.025458309,0.0000000
426.007402309,0.0000000
441.981892309,0.0000000
190.049869089,1657.0927113
212.031813089,863.3684246
228.006303089,779.9190028
355.102358156,4.0300650
377.084302156,0.1324276
393.058792156,0.0448338
409.294850387,0.0000000
431.276794387,0.0000000
447.251284387,0.0000000
387.362142102,0.0859377
409.344086102,0.0000000
425.318576102,0.0187573
126.031456119,0.0000000
148.013400119,0.0000000
163.987890119,0.0000000
176.102967291,6.0457257
198.084911291,4.0843425
214.059401291,0.0000000
427.095182032,0.0000000
449.077126032,0.0000000
244.092796530,0.2003192
266.074740530,0.3904221
282.049230530,0.0000000
324.059127419,0.0000000
346.041071419,0.0000000
362.015561419,0.0000000
112.050537794,0.1802267
134.032481794,0.0000000
150.006971794,0.0000000
193.070664104,2.2748947
215.052608104,0.0000000
231.027098104,0.0000000
255.065184801,0.0000000
277.047128801,0.0000000
293.021618801,0.0000000
161.092068254,0.1775586
183.074012254,0.0609940
199.048502254,0.0045678
308.064212800,0.0000000
330.046156800,0.0000000
346.020646800,0.0000000
171.005300941,0.0000000
192.987244941,0.0000000
208.961734941,0.0000000
154.086254598,0.0000000
176.068198598,0.7279803
192.042688598,0.6455806
291.086314169,0.2916761
313.068258169,0.0000000
329.042748169,0.0000000
443.097272776,0.0000000
307.081228788,0.1114113
329.063172788,0.2121652
345.037662788,0.0000000
303.013543150,0.0000000
324.995487150,0.0000000
340.969977150,0.0000000
243.101570310,0.0000000
265.083514310,0.4770355
281.058004310,0.0000000
289.070664104,0.0000000
311.052608104,0.0000000
327.027098104,0.0000000
133.049534736,0.2101022
155.031478736,0.3713809
171.005968736,0.0000000
287.055014040,0.0000000
309.036958040,0.0000000
325.011448040,0.0000000
442.146957361,0.0000000
271.060099420,0.0000000
293.042043420,0.0000000
309.016533420,0.0000000
197.065578724,4.0804602
219.047522724,0.0000000
235.022012724,0.3363822
148.060433773,57.3869511
170.042377773,0.0551834
186.016867773,0.0000000
147.076418190,262.8334663
169.058362190,0.2994576
185.032852190,1.7968744
76.039304405,0.1184663
98.021248405,0.0000000
113.995738405,0.0000000
152.056685803,0.8918622
174.038629803,0.0000000
190.013119803,0.0000000
284.098944539,0.7774882
306.080888539,0.0129829
322.055378539,0.0000000
444.031606318,0.0000000
364.065275428,0.0000000
386.047219428,0.0849007
402.021709428,0.0000000
179.055014040,0.0391938
201.036958040,0.0000000
217.011448040,0.0000000
303.086314169,0.0000000
325.068258169,0.0000000
341.042748169,0.0000000
112.086923303,0.0000000
134.068867303,0.0000000
150.043357303,0.0000000
156.076752543,164.0325087
178.058696543,0.0763910
194.033186543,0.0000000
190.118617355,395.2201233
212.100561355,0.9529956
228.075051355,0.2300159
393.299935767,31.9318444
415.281879767,0.0000000
431.256369767,0.0000000
110.027025644,0.0000000
132.008969644,0.0000000
147.983459644,0.0000000
176.070604534,0.8194173
198.052548534,0.2947156
214.027038534,0.0000000
269.088045502,0.0340043
291.069989502,0.0000000
307.044479502,0.0000000
349.054376392,0.0000000
371.036320392,0.1932563
387.010810392,0.0000000
131.033884672,0.0000000
153.015828672,0.0000000
168.990318672,0.0000000
211.132870439,0.1046957
233.114814439,0.6890547
249.089304439,1.3653691
90.054954469,209.8086549
112.036898469,0.0000000
128.011388469,0.0000000
175.118951708,193.6637234
197.100895708,507.8652951
213.075385708,0.1236920
133.060768125,2.3117117
155.042712125,0.0000000
171.017202125,0.0000000
134.044783708,0.7461833
156.026727708,0.0000000
172.001217708,0.0000000
170.011769502,0.0000000
191.993713502,0.0000000
207.968203502,0.0000000
241.031125223,0.0000000
263.013069223,0.0000000
278.987559223,0.0000000
136.042675708,0.0000000
158.024619708,0.0000000
173.999109708,0.0000000
120.065519153,0.0000000
142.047463153,0.0000000
158.021953153,0.0194786
281.247506271,0.0000000
303.229450271,0.0725989
319.203940271,0.3989267
147.112803699,147.4845462
169.094747699,0.0536659
185.069237699,19.9938642
166.086254598,0.5705375
188.068198598,0.7073348
204.042688598,0.4822140
116.070604534,0.3397672
138.052548534,10.6012703
154.027038534,0.0822656
106.049869089,0.0000000
128.031813089,0.1962444
144.006303089,0.0000000
182.081169218,22.9147163
204.063113218,17.9211196
220.037603218,0.0000000
263.055014040,0.1207938
285.036958040,0.0000000
301.011448040,0.0000000
117.018234607,0.0000000
139.000178607,0.0000000
154.974668607,0.0000000
233.128453764,12.2949603
255.110397764,0.6839643
271.084887764,0.2510469
319.044843279,0.0000000
341.026787279,0.0000000
357.001277279,0.0000000
229.216206142,0.0000000
251.198150142,0.2914848
267.172640142,0.1534921
287.244152224,0.4134914
309.226096224,0.0000000
325.200586224,0.0000000
230.186302994,0.4232166
252.168246994,0.0000000
268.142736994,0.1168620
245.233587540,0.0109392
267.215531540,0.1674787
283.190021540,0.0595426
188.175738310,4.8728793
210.157682310,0.1314179
226.132172310,0.0926872
175.071332809,0.0000000
197.053276809,0.4259835
213.027766809,1.3523046
176.055348392,0.6076362
198.037292392,0.0018152
214.011782392,0.0000000
305.097941481,1.5476216
327.079885481,0.0000000
343.054375481,0.0000000
164.037590328,0.0000000
186.019534328,0.0000000
201.994024328,0.0000000
190.070998457,1.0552646
212.052942457,0.0000000
228.027432457,0.0000000
118.049869089,0.0000000
140.031813089,0.0000000
156.006303089,0.0000000
174.112469347,0.0000000
196.094413347,7963.4640807
212.068903347,0.3145340
192.068890457,46.8092372
214.050834457,0.0000000
230.025324457,0.0000000
310.113257193,0.0098794
332.095201193,0.1929814
348.069691193,0.2182031
208.096819282,1.4202446
230.078763282,0.5460916
246.053253282,5.7430666
158.081169218,3264.4107837
180.063113218,1.9714091
196.037603218,15.7555069
224.091733902,1.3885937
246.073677902,0.4863264
262.048167902,1.5038562
160.096819282,15.9514980
182.078763282,4.6321650
198.053253282,0.3800208
273.075749485,0.0000000
295.057693485,0.0000000
311.032183485,0.0000000
124.039304405,0.0000000
146.021248405,0.0000000
161.995738405,0.0000000
181.060768125,0.5426244
203.042712125,0.0000000
219.017202125,0.0000000
137.070938886,0.3336962
159.052882886,0.1119747
175.027372886,0.0000000
136.112075423,0.0000000
158.094019423,0.0000000
174.068509423,0.3726373
162.076083837,0.4180853
184.058027837,0.2341703
200.032517837,0.0505290
426.357784998,0.1407852
448.339728998,0.0000000
257.247506271,0.0000000
279.229450271,0.0000000
295.203940271,0.0000000
400.342134933,0.0000000
422.324078933,0.0392945
438.298568933,0.0429326
194.081169218,22.8835693
216.063113218,9.6837361
232.037603218,0.0000000
142.026370739,1.6112694
164.008314739,0.0000000
179.982804739,0.4623461
130.086254598,10.3040071
152.068198598,0.4123544
168.042688598,1.3017308
155.033884672,0.6879880
177.015828672,0.0000000
192.990318672,0.0000000
245.076812113,0.2144747
267.058756113,0.0383026
283.033246113,0.0000000
313.104364272,0.0784927
335.086308272,0.0000000
351.060798272,0.0000000
123.055288822,7.1348033
145.037232822,0.0000000
161.011722822,0.0000000
168.065519153,0.0000000
190.047463153,1463.7442826
206.021953153,0.0000000
303.049928659,0.0000000
325.031872659,0.0000000
341.006362659,0.0000000
174.054954469,8.2587752
196.036898469,33.5077785
212.011388469,0.0000000
168.029133644,0.0000000
190.011077644,0.0000000
205.985567644,0.0000000
229.085920245,0.0000000
251.067864245,0.0000000
267.042354245,0.0390599
153.075749485,0.2266972
175.057693485,1.5432162
191.032183485,138.3853014
231.026430310,0.0000000
253.008374310,0.0000000
268.982864310,0.0000000
361.091793472,0.0488055
383.073737472,0.0000000
399.048227472,0.0334063
399.144515008,0.0000000
421.126459008,0.0000000
437.100949008,0.0000000
203.127785058,0.2143909
225.109729058,0.0526052
241.084219058,0.3454504
291.047559678,0.0000000
313.029503678,0.0000000
329.003993678,0.0000000
175.060099420,1.4861814
197.042043420,0.3879311
213.016533420,0.0000000
183.086314169,4.8841558
205.068258169,0.7495918
221.042748169,0.0000000
428.373435062,0.0000000
343.123487524,0.0000000
365.105431524,0.0000000
381.079921524,0.0491030
199.060099420,0.0652545
221.042043420,0.0000000
237.016533420,0.0000000
168.043738336,1.3322809
190.025682336,0.0000000
206.000172336,0.8500501
305.065578724,0.0000000
327.047522724,0.0271146
343.022012724,0.0000000
266.119583360,0.4159362
288.101527360,0.1164089
304.076017360,0.0000000
426.052245138,0.0000000
448.034189138,0.0000000
149.059705497,1.6632806
171.041649497,0.0000000
187.016139497,0.0000000
220.119286061,0.1139029
242.101230061,0.1779621
258.075720061,0.0747665
205.097153635,137.5690612
227.079097635,20.3944432
243.053587635,106.3288143
138.091339979,0.0000000
160.073283979,12.4528047
176.047773979,0.0000000
139.050203441,0.0000000
161.032147441,0.0000000
177.006637441,0.0000000
136.061771183,1.6482568
158.043715183,0.0000000
174.018205183,0.0000000
177.039363975,0.0000000
199.021307975,0.0000000
214.995797975,0.0000000
153.040701386,0.0000000
175.022645386,0.0000000
190.997135386,0.0000000
206.044783708,4.4248714
228.026727708,0.0000000
244.001217708,0.1341161
167.055014040,0.0000000
189.036958040,3.4240483
205.011448040,0.0000000
