m/z,Intensity
175.023713911,0.0000000
197.005657911,1.6639882
212.980147911,0.0000000
105.114815075,0.0000000
127.096759075,0.0000000
143.071249075,1.2706042
203.223022856,7704.7596823
225.204966856,0.3138038
241.179456856,0.0000000
162.112469347,0.3432564
184.094413347,0.2080713
200.068903347,0.0000000
146.165173626,1493.1397968
168.147117626,0.0000000
184.121607626,0.0000000
149.044449356,0.0000000
171.026393356,0.0000000
187.000883356,0.0000000
185.081145965,57.1863443
207.063089965,0.1740229
223.037579965,0.3497400
131.129122469,0.2067083
153.111066469,0.0199450
169.085556469,0.0947641
339.070026456,0.0000000
361.051970456,0.0000000
377.026460456,0.0000000
197.066916134,6.9991591
219.048860134,0.0000000
235.023350134,0.0818448
102.054954469,0.0898487
124.036898469,0.0000000
140.011388469,0.0000000
170.092402607,5.5050461
192.074346607,0.7330424
208.048836607,0.0000000
132.076752543,4168.7233815
154.058696543,1.4893529
170.033186543,17.3887857
168.989650877,0.0000000
190.971594877,0.0000000
206.946084877,0.0000000
104.070604534,2.9034832
126.052548534,0.0000000
142.027038534,2.1167962
126.021940263,0.0000000
148.003884263,0.0000000
163.978374263,0.3068982
412.041777079,0.0000000
434.023721079,0.0000000
228.097881911,0.0247499
250.079825911,32.0196379
266.054315911,0.0000000
253.093130883,0.2442758
275.075074883,0.0000000
291.049564883,0.0000000
193.034278595,0.1878485
215.016222595,0.0000000
230.990712595,0.0000000
114.066187858,83.0539519
136.048131858,0.9106973
152.022621858,0.4311766
177.075749485,0.0000000
199.057693485,0.0000000
215.032183485,0.0000000
187.000215561,0.0000000
208.982159561,0.0000000
224.956649561,0.0000000
167.070270181,0.0408553
189.052214181,3.4454162
205.026704181,0.0000000
169.049534736,0.0000000
191.031478736,141.2292601
207.005968736,0.0000000
105.054620117,0.0000000
127.036564117,0.0000000
143.011054117,0.0000000
189.148520503,0.0000000
211.130464503,0.0340409
227.104954503,0.3988865
153.054620117,0.0000000
175.036564117,0.0000000
191.011054117,0.0000000
168.101904663,0.0000000
190.083848663,0.0000000
206.058338663,44.8774797
161.080834865,0.4781520
183.062778865,0.0000000
199.037268865,0.0000000
170.081169218,0.9914289
192.063113218,91.6745555
208.037603218,0.0000000
146.081169218,0.0000000
168.063113218,0.0000000
184.037603218,0.0341018
138.054954469,2.1510296
160.036898469,0.1184752
176.011388469,0.0000000
165.054620117,81.1850505
187.036564117,0.2275845
203.011054117,0.0000000
241.085920245,0.4709284
263.067864245,0.2415228
279.042354245,0.0000000
127.050203441,0.0000000
149.032147441,0.0000000
165.006637441,0.0000000
132.065519153,0.2389640
154.047463153,0.1253815
170.021953153,0.0400717
118.086254598,0.1021456
140.068198598,0.0000000
156.042688598,0.0000000
192.065519153,102.7379970
214.047463153,0.0000000
230.021953153,0.0000000
308.091082453,121.3869414
330.073026453,0.0000000
346.047516453,0.0358184
258.108446595,0.2685389
280.090390595,0.3028152
296.064880595,0.0000000
126.066187858,0.0000000
148.048131858,1.1764026
164.022621858,0.0000000
130.049869089,37.2570792
152.031813089,0.0000000
168.006303089,0.0000000
132.101904663,0.0000000
154.083848663,0.0000000
170.058338663,54.0783061
137.045786766,0.3640770
159.027730766,0.0000000
175.002220766,0.0000000
277.031909613,0.0000000
299.013853613,0.0000000
314.988343613,0.0000000
204.123034031,0.1455407
226.104978031,0.0000000
242.079468031,0.7013748
164.128119411,0.2176240
186.110063411,0.3139328
202.084553411,0.0000000
268.104029919,115.8873875
290.085973919,0.7533368
