"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9"
"Fumarate_0",2.17095267,0.78941198,0.38725615,5.12376702,4.94000762,9.31789163,9.42202404,7.98286228,3.52443851
"Fumarate_1",0,0,0,0,0,0,0,0,0
"Fumarate_2",0.96213917,0.6651612,0.21706595,2.8963145,2.16180307,4.48218178,3.54079627,2.25778344,1.27237122
"Fumarate_3",0.01317834,0.02505104,0.03631879,0.17513566,0.33103194,0.1637091,0,0,0
"Fumarate_4",0,0,0,0,0.37925403,0,0,0,0
"GABA_0",14.5596212,14.96034352,3.78082307,23.18799,20.35017741,7.4347945,13.38899695,16.73228271,19.65368816
"GABA_1",1.72677741,0.76107012,1.08900478,5.43846282,7.13826633,4.06064356,3.92104988,2.96511807,5.34104549
"GABA_2",3.97233819,2.05870803,1.93157756,12.15326878,13.40217046,5.83417774,8.27701223,7.09988477,12.24970966
"GABA_3",0.73780867,0.2683987,0.5988864,4.21627825,3.43965978,3.20129592,3.39779422,2.86470808,4.93324103
"GABA_4",0.15665267,0.25833875,0.12035043,1.29575806,1.88292222,1.07745862,0.60412899,0.26528913,0.91272758
"Glutamate_0",21.18137459,18.97654125,14.24346996,30.3372211,30.82179524,23.77870939,37.67641002,53.34114067,28.5426657
"Glutamate_1",0.69566091,0,0.18583311,5.13957338,1.33412937,2.922586,6.33265921,1.90617439,2.84592821
"Glutamate_2",8.89749495,5.12503726,5.10227024,22.40627426,20.76593426,14.05253008,36.59882224,32.0550152,20.97234163
"Glutamate_3",1.19128132,0.56072092,0.78689259,7.12608391,5.14792983,4.14759164,11.82485204,5.64986404,5.85120798
"Glutamate_4",0.45687975,0.12297596,0.27011958,4.27424024,2.22541884,2.91545609,5.66845802,2.29790493,2.8151241
"Glutamate_5",0.03209294,0,0.03064323,0.72589954,0.53760349,0.47311215,0.61118265,0.07887935,0.24895165
"Glutamine_0",80.66459959,100.87792702,97.00659201,64.67851268,61.02332439,56.69016028,76.03791236,92.23069807,119.55918271
"Glutamine_1",15.32715263,12.00805497,7.52353405,25.18071819,25.99036101,19.29486517,31.21482093,46.0747774,19.14223296
"Glutamine_2",35.91670319,29.69680794,26.9953457,53.91556448,47.46285361,44.73282411,83.21724826,69.94012862,89.86493666
"Glutamine_3",7.47377744,3.94672441,4.01427538,20.40874641,18.87386071,12.34380822,33.40392846,29.30201954,17.36961887
"Glutamine_4",1.08469574,0.44041744,0.68925617,7.19735986,5.13267096,4.12761454,11.91940176,5.61115048,5.64916458
"Glutamine_5",0,0.00358528,0,0.37062035,0.29183264,0.46227851,0,0,0
"Pyruvate_0",0.06366959,0.04578372,0.05005021,0.58298544,0.81386856,0.32689509,0.13117948,0,0.19947452
"Pyruvate_1",0,0,0,0,0,0,0,0,0
"Pyruvate_2",0,0,0,0.01025269,0,0.00275784,0,0,0
"Pyruvate_3",0.00267618,0,0.00295981,0.04029074,0,0.02482314,0.00174583,0,0
"Succinate_0",0.17098408,0.12374122,0.22570458,1.64069999,1.88830138,1.62044927,0.71424256,0.60015187,0.83487068
"Succinate_1",0.31786049,0.14464678,0.40257195,0,0,0,0,0,0
"Succinate_2",0.60946673,0.43769586,0.9414115,0,0,0,0,0,0
"Succinate_3",0.02470559,0,0,0.04482659,0,0.03160555,0.06548052,0,0.00359427
"Succinate_4",0.00584981,0.05479299,0,0.20445452,0.06325982,0.14128627,0.01940438,0.05844735,0.02448614
