"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9"
"Fumarate_0",-0.00222482,-0.00266191,-0.00179692,-0.0013877,-0.00073741,-0.00133852,-0.002055,-0.00217885,-0.00211225
"Fumarate_1",Inf,Inf,Inf,-Inf,Inf,-Inf,-Inf,Inf,-Inf
"Fumarate_2",-0.00229042,-0.00148442,-0.00151848,-0.00110748,-0.00075524,-0.00130104,-0.00296814,-0.00408435,-0.00314469
"Fumarate_3",-0.00218616,-0.00230729,-0.00064182,8.725e-05,7.474e-05,-0.00181566,Inf,-Inf,Inf
"Fumarate_4",-Inf,Inf,-Inf,Inf,-8.7e-07,-Inf,Inf,-Inf,-Inf
"GABA_0",0,0,0,0,0,0,0,0,0
"GABA_1",0,0,0,0,0,0,0,0,0
"GABA_2",0,0,0,0,0,0,0,0,0
"GABA_3",0,0,0,0,0,0,0,0,0
"GABA_4",0,0,0,0,0,0,0,0,0
"Glutamate_0",0,-0.00264897,0,0,0,0,0,0,0
"Glutamate_1",0,-Inf,0,0,0,0,0,0,0
"Glutamate_2",0,-0.00329387,0,0,0,0,0,0,0
"Glutamate_3",0,0.00034158,0,0,0,0,0,0,0
"Glutamate_4",0,-0.00114144,0,0,0,0,0,0,0
"Glutamate_5",0,Inf,0,0,0,0,0,0,0
"Glutamine_0",0,0,0,0,0,0,0,0,0
"Glutamine_1",3e-08,0,3e-08,0,0,0,3.1e-07,1.6e-07,2.3e-07
"Glutamine_2",7e-08,0,5e-08,0,0,0,6.2e-07,5.5e-07,2.5e-07
"Glutamine_3",-1.633e-05,0,-1.604e-05,0,0,0,-7.211e-05,-6.141e-05,-6.181e-05
"Glutamine_4",-0.00039203,0,-0.00032538,0,0,0,-0.00070415,-0.00111739,-0.00066212
"Glutamine_5",Inf,0,Inf,0,0,0,Inf,Inf,Inf
"Pyruvate_0",-0.00016036,-0.00115543,-0.00116723,-0.00055597,-0.00115541,-0.00078328,-0.00115803,NA,-0.001124
"Pyruvate_1",-Inf,Inf,Inf,Inf,-Inf,Inf,Inf,NA,-Inf
"Pyruvate_2",-Inf,Inf,-Inf,-0.01882628,-Inf,-0.05528965,-Inf,NA,-Inf
"Pyruvate_3",-0.00545927,Inf,-0.00428744,7.247e-05,Inf,9.306e-05,-0.01600385,NA,-Inf
"Succinate_0",0,2.061e-05,1.688e-05,-0.00199106,-0.00203841,-0.001881,-0.00206265,-0.00203968,-0.00203884
"Succinate_1",0,-0.00071962,-0.00037273,-Inf,-Inf,-Inf,Inf,-Inf,Inf
"Succinate_2",0,-0.00071502,-0.00050734,Inf,-Inf,-Inf,Inf,Inf,Inf
"Succinate_3",0,Inf,-Inf,-0.0109058,Inf,-0.00924331,-0.00384786,-Inf,-0.06424114
"Succinate_4",0,-0.0098133,Inf,4.901e-05,-0.00214512,4.275e-05,0.0002654,-0.00175611,0.00019358
