m/z,Intensity
175.023713911,0.0000000
197.005657911,3.1472346
212.980147911,0.0000000
105.114815075,0.0000000
127.096759075,0.0253921
143.071249075,2.1458882
203.223022856,13476.1631185
225.204966856,0.5926799
241.179456856,0.0266735
162.112469347,0.1845555
184.094413347,0.2926871
200.068903347,0.0403177
146.165173626,2184.3889501
168.147117626,0.0927843
184.121607626,0.0260119
149.044449356,0.0361340
171.026393356,0.0168622
187.000883356,0.0000000
185.081145965,38.7428860
207.063089965,0.4188634
223.037579965,0.3349290
131.129122469,0.0311751
153.111066469,0.2089802
169.085556469,0.0697938
339.070026456,0.0000000
361.051970456,0.0000000
377.026460456,0.0000000
197.066916134,6.3721143
219.048860134,0.0000000
235.023350134,0.1206683
102.054954469,0.1649331
124.036898469,0.0000000
140.011388469,0.0000000
170.092402607,9.9217566
192.074346607,1.3038758
208.048836607,0.0000000
132.076752543,5995.0908069
154.058696543,2.5329290
170.033186543,26.6100817
168.989650877,0.0000000
190.971594877,0.0000000
206.946084877,0.0000000
104.070604534,20.7142696
126.052548534,0.0000000
142.027038534,2.0502596
126.021940263,0.0282360
148.003884263,0.0000000
163.978374263,0.1334313
412.041777079,0.0000000
434.023721079,0.0000000
228.097881911,0.3825857
250.079825911,23.9086113
266.054315911,0.0000000
253.093130883,0.2456944
275.075074883,0.0000000
291.049564883,0.0000000
193.034278595,0.0368481
215.016222595,0.0000000
230.990712595,0.0000000
114.066187858,75.1402058
136.048131858,0.8800223
152.022621858,0.4654819
177.075749485,0.0174769
199.057693485,0.0000000
215.032183485,0.0000000
187.000215561,0.0000000
208.982159561,0.0000000
224.956649561,0.0000000
167.070270181,0.2230075
189.052214181,2.8544935
205.026704181,0.0215977
169.049534736,0.0521248
191.031478736,106.6923474
207.005968736,0.0000000
105.054620117,0.0385273
127.036564117,0.0259344
143.011054117,0.0000000
189.148520503,0.0000000
211.130464503,0.0000000
227.104954503,16.7558166
153.054620117,0.1173558
175.036564117,0.0793119
191.011054117,0.0000000
168.101904663,0.0645919
190.083848663,0.0000000
206.058338663,22.5119754
161.080834865,0.2272261
183.062778865,0.0325925
199.037268865,0.0000000
170.081169218,0.8445622
192.063113218,72.6573811
208.037603218,0.0000000
146.081169218,0.1658409
168.063113218,0.0151022
184.037603218,0.0910539
138.054954469,10.4937593
160.036898469,0.0665688
176.011388469,0.1203760
165.054620117,73.9802115
187.036564117,0.2134430
203.011054117,0.0000000
241.085920245,0.3394497
263.067864245,0.1843297
279.042354245,0.0000000
127.050203441,0.0090072
149.032147441,0.0000000
165.006637441,0.0000000
132.065519153,0.5406974
154.047463153,0.0284609
170.021953153,0.0345339
118.086254598,0.0905560
140.068198598,0.0000000
156.042688598,0.1076121
192.065519153,83.0779537
214.047463153,0.0672551
230.021953153,0.0420506
308.091082453,184.4738361
330.073026453,0.0256571
346.047516453,0.0874856
258.108446595,0.2987101
280.090390595,0.1609218
296.064880595,0.0000000
126.066187858,0.0184302
148.048131858,0.8841751
164.022621858,0.0000000
130.049869089,70.1319609
152.031813089,0.0136625
168.006303089,0.0000000
132.101904663,0.0501893
154.083848663,0.0000000
170.058338663,60.0505786
137.045786766,0.3682508
159.027730766,0.0000000
175.002220766,0.0000000
277.031909613,0.0000000
299.013853613,0.0000000
314.988343613,0.0000000
204.123034031,0.1223636
226.104978031,0.1197355
242.079468031,0.4870605
164.128119411,0.0218118
186.110063411,0.1539438
202.084553411,0.0435241
268.104029919,135.3722779
290.085973919,0.6282568
306.060463919,0.0000000
428.036691698,0.0000000
147.065184801,435.1977179
169.047128801,0.0738657
185.021618801,0.0399707
159.051266070,0.0153208
181.033210070,0.0000000
197.007700070,1.9737076
261.036994994,0.0000000
283.018938994,0.0000000
298.993428994,0.0000000
147.028799291,0.0757657
169.010743291,0.0000000
184.985233291,0.0000000
189.112134994,0.7502062
211.094078994,5.0982243
227.068568994,0.1845814
123.044055433,11.9047374
145.025999433,0.2101942
161.000489433,0.0000000
119.070270181,0.0336481
141.052214181,0.0000000
157.026704181,0.0000000
89.107324396,0.5057812
111.089268396,0.0702757
127.063758396,0.0000000
89.059705497,0.1561711
111.041649497,0.0000000
127.016139497,0.0000000
404.025458309,0.0000000
426.007402309,0.0000000
441.981892309,0.0000000
190.049869089,1483.0290814
212.031813089,698.0196784
228.006303089,706.9998684
355.102358156,2.6771800
377.084302156,0.4408128
393.058792156,0.0275581
409.294850387,0.0000000
431.276794387,0.0000000
447.251284387,0.0000000
387.362142102,0.0036677
409.344086102,0.0000000
425.318576102,0.0152762
126.031456119,0.0000000
148.013400119,0.0000000
163.987890119,0.0000000
176.102967291,5.6843977
198.084911291,2.4987533
214.059401291,0.0330021
427.095182032,0.0000000
449.077126032,0.0000000
244.092796530,0.3892285
266.074740530,0.5753339
282.049230530,0.0000000
324.059127419,0.0136917
346.041071419,0.0376172
362.015561419,0.0000000
112.050537794,0.2689546
134.032481794,0.0022880
150.006971794,0.0000000
193.070664104,2.3339110
215.052608104,0.0000000
231.027098104,0.0000000
255.065184801,0.0543408
277.047128801,0.0000000
293.021618801,0.0000000
161.092068254,0.2346773
183.074012254,0.1703632
199.048502254,0.0377736
308.064212800,0.0223837
330.046156800,0.0000000
346.020646800,0.0000000
171.005300941,0.0000000
192.987244941,0.0000000
208.961734941,0.0052012
154.086254598,0.0000000
176.068198598,0.3084689
192.042688598,0.3264277
291.086314169,0.3064918
313.068258169,0.0000000
329.042748169,0.0000000
443.097272776,0.0000000
307.081228788,0.1164257
329.063172788,0.3008119
345.037662788,0.0000000
303.013543150,0.0000000
324.995487150,0.0000000
340.969977150,0.0000000
243.101570310,0.0604534
265.083514310,0.2259976
281.058004310,0.0000000
289.070664104,0.0152414
311.052608104,0.0000000
327.027098104,0.0000000
133.049534736,0.3617894
155.031478736,0.5056887
171.005968736,0.0000000
287.055014040,0.0000000
309.036958040,0.0061040
325.011448040,0.0000000
442.146957361,0.0555186
271.060099420,0.0000000
293.042043420,0.0000000
309.016533420,0.0000000
197.065578724,4.0879104
219.047522724,0.0000000
235.022012724,0.1998740
148.060433773,63.3272311
170.042377773,0.0424728
186.016867773,0.0331332
147.076418190,326.1541558
169.058362190,0.2006327
185.032852190,1.3513493
76.039304405,0.3399630
98.021248405,0.0000000
113.995738405,0.0000000
152.056685803,0.2810146
174.038629803,0.0000000
190.013119803,0.0397987
284.098944539,1.0135753
306.080888539,0.1818453
322.055378539,0.0000000
444.031606318,0.0000000
364.065275428,0.0000000
386.047219428,0.0191139
402.021709428,0.0000000
179.055014040,0.0913483
201.036958040,0.0000000
217.011448040,0.0000000
303.086314169,0.0000000
325.068258169,0.0000000
341.042748169,0.0000000
112.086923303,0.1415509
134.068867303,0.0745254
150.043357303,0.0000000
156.076752543,154.8301595
178.058696543,0.0000000
194.033186543,0.0297904
190.118617355,367.8428042
212.100561355,0.9160156
228.075051355,0.2947853
393.299935767,32.2023727
415.281879767,0.0147844
431.256369767,0.0000000
110.027025644,0.0237535
132.008969644,0.0000000
147.983459644,0.0000000
176.070604534,0.3639837
198.052548534,1.0295154
214.027038534,0.0000000
269.088045502,0.0409509
291.069989502,0.0000000
307.044479502,0.0000000
349.054376392,0.0000000
371.036320392,0.1935531
387.010810392,0.0000000
131.033884672,0.0000000
153.015828672,0.0000000
168.990318672,0.0000000
211.132870439,0.0000000
233.114814439,0.6060338
249.089304439,0.7067073
90.054954469,165.1214300
112.036898469,0.0000000
128.011388469,0.0000000
175.118951708,220.5746285
197.100895708,490.0003295
213.075385708,0.0120871
133.060768125,3.2234036
155.042712125,0.0000000
171.017202125,0.0000000
134.044783708,0.9463899
156.026727708,0.0000000
172.001217708,0.0000000
170.011769502,0.0000000
191.993713502,0.0000000
207.968203502,0.0000000
241.031125223,0.0000000
263.013069223,0.0000000
278.987559223,0.0000000
136.042675708,0.0000000
158.024619708,0.0000000
173.999109708,0.0000000
120.065519153,0.0490270
142.047463153,0.0000000
158.021953153,0.0000000
281.247506271,0.0472356
303.229450271,0.0349648
319.203940271,1.0852097
147.112803699,176.1942022
169.094747699,0.1411822
185.069237699,15.3095959
166.086254598,0.8971197
188.068198598,1.5177055
204.042688598,0.6996614
116.070604534,1.5116682
138.052548534,8.0832266
154.027038534,0.2068240
106.049869089,0.3049912
128.031813089,0.0000000
144.006303089,0.0000000
182.081169218,22.1132615
204.063113218,26.2699871
220.037603218,0.0000000
263.055014040,0.0944253
285.036958040,0.0000000
301.011448040,0.0000000
117.018234607,0.0000000
139.000178607,0.0000000
154.974668607,0.0000000
233.128453764,12.9542466
255.110397764,0.7458960
271.084887764,0.5108997
319.044843279,0.0000000
341.026787279,0.0000000
357.001277279,0.0000000
229.216206142,0.0000000
251.198150142,0.1035897
267.172640142,0.0489701
287.244152224,1.5635387
309.226096224,0.0557687
325.200586224,0.0099357
230.186302994,0.8005385
252.168246994,0.0000000
268.142736994,0.1258927
245.233587540,0.0397712
267.215531540,0.2562962
283.190021540,0.0845355
188.175738310,3.5289187
210.157682310,0.2738488
226.132172310,0.0630692
175.071332809,0.0458775
197.053276809,0.5081757
213.027766809,0.9330009
176.055348392,0.7701528
198.037292392,0.2763938
214.011782392,0.1350912
305.097941481,1.8386423
327.079885481,0.0000000
343.054375481,0.0255743
164.037590328,0.0136462
186.019534328,0.0345617
201.994024328,0.0000000
190.070998457,1.5719581
212.052942457,0.0222462
228.027432457,0.0000000
118.049869089,0.0409280
140.031813089,0.0000000
156.006303089,0.0000000
174.112469347,0.0361842
196.094413347,7515.2327626
212.068903347,0.1340756
192.068890457,46.6862108
214.050834457,0.0672205
230.025324457,0.0207012
310.113257193,0.1885358
332.095201193,0.2131509
348.069691193,0.8079659
208.096819282,6.4470159
230.078763282,0.3730878
246.053253282,4.6194909
158.081169218,3283.3563119
180.063113218,1.4390509
196.037603218,17.8439707
224.091733902,1.2578928
246.073677902,0.1857239
262.048167902,2.1333718
160.096819282,19.5323667
182.078763282,4.8085922
198.053253282,1.2105502
273.075749485,0.0000000
295.057693485,0.0000000
311.032183485,0.0000000
124.039304405,0.0149201
146.021248405,0.0000000
161.995738405,0.0000000
181.060768125,0.2207839
203.042712125,0.0000000
219.017202125,0.0000000
137.070938886,8.1804154
159.052882886,0.0389176
175.027372886,0.0000000
136.112075423,0.0177506
158.094019423,0.0314532
174.068509423,0.2798182
162.076083837,0.3930265
184.058027837,0.2299926
200.032517837,0.0536865
426.357784998,0.0505041
448.339728998,0.0000000
257.247506271,0.0000000
279.229450271,0.0000000
295.203940271,0.0238037
400.342134933,0.0000000
422.324078933,0.0120777
438.298568933,0.1599731
194.081169218,19.1776700
216.063113218,12.9666353
232.037603218,0.0000000
142.026370739,2.5977900
164.008314739,0.0073616
179.982804739,0.1012996
130.086254598,21.4046953
152.068198598,0.2954548
168.042688598,0.5597459
155.033884672,0.6904956
177.015828672,0.0000000
192.990318672,0.0000000
245.076812113,0.0068424
267.058756113,0.0386010
283.033246113,0.0000000
313.104364272,0.0533207
335.086308272,0.3080719
351.060798272,0.0000000
123.055288822,5.9065931
145.037232822,0.0000000
161.011722822,0.0000000
168.065519153,0.0628358
190.047463153,1308.9435369
206.021953153,0.0000000
303.049928659,0.0000000
325.031872659,0.0000000
341.006362659,0.0000000
174.054954469,7.2487757
196.036898469,37.2967275
212.011388469,0.0000000
168.029133644,0.0025161
190.011077644,0.0037782
205.985567644,0.0000000
229.085920245,0.1553753
251.067864245,0.0350577
267.042354245,0.0000000
153.075749485,0.0632051
175.057693485,1.6449927
191.032183485,115.3569262
231.026430310,0.0000000
253.008374310,0.0000000
268.982864310,0.0000000
361.091793472,0.1699171
383.073737472,0.0227127
399.048227472,0.0176901
399.144515008,0.0183825
421.126459008,0.0241304
437.100949008,0.0000000
203.127785058,0.1053113
225.109729058,0.3439373
241.084219058,0.3650059
291.047559678,0.0000000
313.029503678,0.0000000
329.003993678,0.0000000
175.060099420,1.0636089
197.042043420,0.5322261
213.016533420,0.0000000
183.086314169,3.0808956
205.068258169,0.1948365
221.042748169,0.0084881
428.373435062,0.0219712
343.123487524,0.0248522
365.105431524,0.0246623
381.079921524,0.0074597
199.060099420,0.0276556
221.042043420,0.0000000
237.016533420,0.0016098
168.043738336,0.3929554
190.025682336,0.0022763
206.000172336,0.7130600
305.065578724,0.0000000
327.047522724,0.0853227
343.022012724,0.0000000
266.119583360,0.1868172
288.101527360,0.1633682
304.076017360,0.0000000
426.052245138,0.0000000
448.034189138,0.0000000
149.059705497,2.1508975
171.041649497,0.1115655
187.016139497,0.0000000
220.119286061,0.2940523
242.101230061,0.0719262
258.075720061,0.0767330
205.097153635,113.5354027
227.079097635,18.6200510
243.053587635,92.2848078
138.091339979,0.0361982
160.073283979,10.8647007
176.047773979,0.0000000
139.050203441,0.0946678
161.032147441,0.0000000
177.006637441,0.0000000
136.061771183,2.6624677
158.043715183,0.1218790
174.018205183,0.0000000
177.039363975,0.0295173
199.021307975,0.0647956
214.995797975,0.0000000
153.040701386,0.0000000
175.022645386,0.0000000
190.997135386,0.0103970
206.044783708,3.8382876
228.026727708,0.0000000
244.001217708,0.0116600
167.055014040,0.0000000
189.036958040,1.5618293
205.011448040,0.0238366
