m/z,Intensity
175.023713911,0.0000000
197.005657911,2.2263587
212.980147911,0.0000000
105.114815075,0.0000000
127.096759075,0.0000000
143.071249075,2.3512026
203.223022856,12756.5687499
225.204966856,0.4825005
241.179456856,0.0000000
162.112469347,0.1248523
184.094413347,0.1865645
200.068903347,0.0000000
146.165173626,2813.7401113
168.147117626,0.2976155
184.121607626,0.0391095
149.044449356,0.0750276
171.026393356,0.0697897
187.000883356,0.0000000
185.081145965,38.8911257
207.063089965,0.2928772
223.037579965,0.3844212
131.129122469,0.0000000
153.111066469,0.1564130
169.085556469,0.0000000
339.070026456,0.0151165
361.051970456,0.0000000
377.026460456,0.0000000
197.066916134,6.0983962
219.048860134,0.0000000
235.023350134,0.1296094
102.054954469,0.0830540
124.036898469,0.0000000
140.011388469,0.0000000
170.092402607,6.1348761
192.074346607,1.1911327
208.048836607,0.0000000
132.076752543,8047.0882003
154.058696543,3.8090123
170.033186543,38.4220877
168.989650877,0.0000000
190.971594877,0.0000000
206.946084877,0.0000000
104.070604534,1.2445770
126.052548534,0.0000000
142.027038534,1.2859836
126.021940263,0.0000000
148.003884263,0.0000000
163.978374263,0.0000000
412.041777079,0.0000000
434.023721079,0.0000000
228.097881911,0.1431768
250.079825911,23.3595109
266.054315911,0.0000000
253.093130883,0.3630006
275.075074883,0.0000000
291.049564883,0.0000000
193.034278595,0.0508218
215.016222595,0.0000000
230.990712595,0.0000000
114.066187858,101.3651418
136.048131858,0.6535604
152.022621858,0.5243131
177.075749485,0.0000000
199.057693485,0.0000000
215.032183485,0.0000000
187.000215561,0.0000000
208.982159561,0.0000000
224.956649561,0.0000000
167.070270181,0.0819322
189.052214181,2.5355125
205.026704181,0.0434910
169.049534736,0.0000000
191.031478736,115.2945988
207.005968736,0.0000000
105.054620117,0.0000000
127.036564117,0.0000000
143.011054117,0.0000000
189.148520503,0.0000000
211.130464503,0.0000000
227.104954503,0.8195838
153.054620117,0.0000000
175.036564117,0.1562175
191.011054117,0.0000000
168.101904663,0.0000000
190.083848663,0.1335906
206.058338663,33.2714336
161.080834865,0.2386440
183.062778865,0.0000000
199.037268865,0.0000000
170.081169218,1.3148210
192.063113218,68.4392600
208.037603218,0.0000000
146.081169218,0.2901843
168.063113218,0.0000000
184.037603218,0.4441819
138.054954469,16.9761804
160.036898469,0.0000000
176.011388469,0.1682777
165.054620117,65.8589625
187.036564117,0.1662329
203.011054117,0.0000000
241.085920245,0.0104290
263.067864245,0.0000000
279.042354245,0.0000000
127.050203441,0.0000000
149.032147441,0.0000000
165.006637441,0.0000000
132.065519153,0.4378493
154.047463153,0.0000000
170.021953153,0.0000000
118.086254598,0.1050723
140.068198598,0.0975875
156.042688598,0.0000000
192.065519153,78.7757352
214.047463153,0.1176020
230.021953153,0.0000000
308.091082453,217.6111642
330.073026453,0.0000000
346.047516453,0.0782266
258.108446595,0.2186938
280.090390595,0.1133050
296.064880595,0.0000000
126.066187858,0.1611762
148.048131858,1.2468096
164.022621858,0.0000000
130.049869089,57.5911744
152.031813089,0.0000000
168.006303089,0.0000000
132.101904663,0.0000000
154.083848663,0.1350902
170.058338663,71.2817578
137.045786766,0.4080817
159.027730766,0.0000000
175.002220766,0.0000000
277.031909613,0.0000000
299.013853613,0.0000000
314.988343613,0.0000000
204.123034031,0.1868439
226.104978031,0.1520207
242.079468031,0.1481522
164.128119411,0.0000000
186.110063411,0.0102034
202.084553411,0.1234317
268.104029919,57.2335897
290.085973919,0.5896347
306.060463919,0.0000000
428.036691698,0.0000000
147.065184801,405.4231979
169.047128801,0.0000000
185.021618801,0.1514127
159.051266070,0.1346194
181.033210070,0.0000000
197.007700070,1.3229365
261.036994994,0.0337105
283.018938994,0.0000000
298.993428994,0.0000000
147.028799291,0.0000000
169.010743291,0.0000000
184.985233291,0.0000000
189.112134994,0.4858864
211.094078994,4.5050107
227.068568994,0.0383027
123.044055433,12.5959272
145.025999433,0.2396929
161.000489433,0.0000000
119.070270181,0.3621013
141.052214181,0.0000000
157.026704181,0.0000000
89.107324396,0.3314735
111.089268396,0.0000000
127.063758396,0.0000000
89.059705497,0.1992550
111.041649497,0.0000000
127.016139497,0.0000000
404.025458309,0.0000000
426.007402309,0.0000000
441.981892309,0.0000000
190.049869089,1516.2976247
212.031813089,831.8014191
228.006303089,684.3439850
355.102358156,2.3349812
377.084302156,0.7351343
393.058792156,0.0000000
409.294850387,0.0000000
431.276794387,0.0000000
447.251284387,0.0000000
387.362142102,0.0000000
409.344086102,0.0000000
425.318576102,0.0000000
126.031456119,0.0000000
148.013400119,0.0000000
163.987890119,0.0000000
176.102967291,9.4487969
198.084911291,2.7738127
214.059401291,0.0471489
427.095182032,0.0000000
449.077126032,0.0000000
244.092796530,0.2738611
266.074740530,0.5051975
282.049230530,0.0000000
324.059127419,0.0000000
346.041071419,0.0000000
362.015561419,0.0000000
112.050537794,0.4893548
134.032481794,0.0000000
150.006971794,0.0000000
193.070664104,1.7083501
215.052608104,0.0000000
231.027098104,0.0000000
255.065184801,0.0000000
277.047128801,0.0000000
293.021618801,0.0000000
161.092068254,0.0879347
183.074012254,0.1464705
199.048502254,0.0000000
308.064212800,0.0000000
330.046156800,0.0000000
346.020646800,0.0000000
171.005300941,0.0000000
192.987244941,0.0000000
208.961734941,0.0215266
154.086254598,0.2099622
176.068198598,0.1667304
192.042688598,0.4270607
291.086314169,0.6854992
313.068258169,0.0000000
329.042748169,0.0000000
443.097272776,0.0000000
307.081228788,0.0000000
329.063172788,0.1228973
345.037662788,0.0000000
303.013543150,0.0000000
324.995487150,0.0000000
340.969977150,0.0000000
243.101570310,0.0000000
265.083514310,0.8519594
281.058004310,0.0000000
289.070664104,0.0000000
311.052608104,0.0000000
327.027098104,0.0000000
133.049534736,0.4832830
155.031478736,0.2556985
171.005968736,0.0000000
287.055014040,0.0000000
309.036958040,0.0000000
325.011448040,0.0000000
442.146957361,0.0000000
271.060099420,0.0000000
293.042043420,0.0000000
309.016533420,0.0000000
197.065578724,3.8428255
219.047522724,0.0000000
235.022012724,0.2192325
148.060433773,58.7773260
170.042377773,0.0000000
186.016867773,0.0892139
147.076418190,288.4844915
169.058362190,0.1303396
185.032852190,0.5382595
76.039304405,0.0000000
98.021248405,0.0000000
113.995738405,0.0000000
152.056685803,0.7044226
174.038629803,0.0000000
190.013119803,0.1647198
284.098944539,0.7614080
306.080888539,0.1294123
322.055378539,0.0000000
444.031606318,0.0000000
364.065275428,0.0000000
386.047219428,0.0000000
402.021709428,0.0000000
179.055014040,0.2507843
201.036958040,0.0000000
217.011448040,0.0000000
303.086314169,0.0000000
325.068258169,0.0000000
341.042748169,0.0000000
112.086923303,0.3826870
134.068867303,0.0000000
150.043357303,0.0000000
156.076752543,191.4831748
178.058696543,0.0000000
194.033186543,0.0000000
190.118617355,350.2572001
212.100561355,2.2753254
228.075051355,0.2980841
393.299935767,33.7572778
415.281879767,0.0000000
431.256369767,0.0000000
110.027025644,0.0000000
132.008969644,0.0000000
147.983459644,0.0000000
176.070604534,0.3285955
198.052548534,0.8164736
214.027038534,0.0000000
269.088045502,0.0720884
291.069989502,0.0000000
307.044479502,0.0000000
349.054376392,0.0000000
371.036320392,0.3218948
387.010810392,0.0000000
131.033884672,0.0000000
153.015828672,0.0000000
168.990318672,0.0000000
211.132870439,0.0000000
233.114814439,1.3705370
249.089304439,0.8814384
90.054954469,235.7342531
112.036898469,0.0000000
128.011388469,0.0000000
175.118951708,297.1407498
197.100895708,484.4834213
213.075385708,0.0000000
133.060768125,2.7046314
155.042712125,0.0000000
171.017202125,0.0000000
134.044783708,0.4080666
156.026727708,0.0000000
172.001217708,0.0000000
170.011769502,0.0000000
191.993713502,0.0000000
207.968203502,0.0000000
241.031125223,0.0000000
263.013069223,0.0000000
278.987559223,0.0000000
136.042675708,0.0000000
158.024619708,0.0000000
173.999109708,0.0000000
120.065519153,0.0000000
142.047463153,0.0000000
158.021953153,0.0000000
281.247506271,0.0000000
303.229450271,0.0494507
319.203940271,1.2641965
147.112803699,171.2168551
169.094747699,0.2216296
185.069237699,15.2330296
166.086254598,0.6160810
188.068198598,1.3197048
204.042688598,0.5464434
116.070604534,0.2522163
138.052548534,12.6584126
154.027038534,0.3263251
106.049869089,0.2130982
128.031813089,0.0000000
144.006303089,0.0000000
182.081169218,17.6160961
204.063113218,23.6948799
220.037603218,0.0000000
263.055014040,0.3061258
285.036958040,0.0000000
301.011448040,0.0000000
117.018234607,0.0000000
139.000178607,0.0000000
154.974668607,0.0000000
233.128453764,17.3313742
255.110397764,0.9662732
271.084887764,0.3239391
319.044843279,0.0000000
341.026787279,0.0000000
357.001277279,0.0000000
229.216206142,0.0000000
251.198150142,0.0995781
267.172640142,0.0000000
287.244152224,1.3467968
309.226096224,0.0000000
325.200586224,0.0000000
230.186302994,0.9523569
252.168246994,0.0000000
268.142736994,0.0000000
245.233587540,0.0379506
267.215531540,0.0000000
283.190021540,0.0369926
188.175738310,6.0494534
210.157682310,0.1778281
226.132172310,0.0469891
175.071332809,0.0420085
197.053276809,0.3121156
213.027766809,1.0227026
176.055348392,1.0928106
198.037292392,0.2763113
214.011782392,0.0183528
305.097941481,1.6293715
327.079885481,0.0000000
343.054375481,0.1197833
164.037590328,0.0000000
186.019534328,0.0196247
201.994024328,0.0000000
190.070998457,1.3521020
212.052942457,0.0920731
228.027432457,0.0000000
118.049869089,0.0000000
140.031813089,0.0000000
156.006303089,0.0000000
