m/z,Intensity
175.023713911,0.0000000
197.005657911,3.8270330
212.980147911,0.0000000
105.114815075,0.0000000
127.096759075,0.0000000
143.071249075,2.4911140
203.223022856,9710.4673674
225.204966856,0.3058887
241.179456856,0.1099255
162.112469347,0.3029909
184.094413347,0.4557955
200.068903347,0.0000000
146.165173626,1377.5416278
168.147117626,0.1275298
184.121607626,0.0000000
149.044449356,0.0586291
171.026393356,0.0000000
187.000883356,0.0000000
185.081145965,51.5550697
207.063089965,0.0000000
223.037579965,0.5859751
131.129122469,0.0000000
153.111066469,0.5266937
169.085556469,0.0514202
339.070026456,0.0000000
361.051970456,0.0000000
377.026460456,0.0000000
197.066916134,6.7229682
219.048860134,0.0000000
235.023350134,0.1037584
102.054954469,0.3281829
124.036898469,0.1531246
140.011388469,0.0000000
170.092402607,5.6505813
192.074346607,1.3173464
208.048836607,0.0000000
132.076752543,3916.7454404
154.058696543,1.4080082
170.033186543,13.3952617
168.989650877,0.0000000
190.971594877,0.0000000
206.946084877,0.0000000
104.070604534,1.8418959
126.052548534,0.0000000
142.027038534,2.3315922
126.021940263,0.0156358
148.003884263,0.0000000
163.978374263,0.2714996
412.041777079,0.0000000
434.023721079,0.0000000
228.097881911,0.3349270
250.079825911,24.6442012
266.054315911,0.0000000
253.093130883,0.2011722
275.075074883,0.1133337
291.049564883,0.0000000
193.034278595,0.0000000
215.016222595,0.0000000
230.990712595,0.0000000
114.066187858,74.7444053
136.048131858,0.9053472
152.022621858,0.2530077
177.075749485,0.0000000
199.057693485,0.0634766
215.032183485,0.0000000
187.000215561,0.0000000
208.982159561,0.0000000
224.956649561,0.0000000
167.070270181,0.2047142
189.052214181,2.4941631
205.026704181,0.0000000
169.049534736,0.1045807
191.031478736,118.5390936
207.005968736,0.1169264
105.054620117,0.0000000
127.036564117,0.0879328
143.011054117,0.0000000
189.148520503,0.0000000
211.130464503,0.0746341
227.104954503,1.2220136
153.054620117,0.1351132
175.036564117,0.0000000
191.011054117,0.0000000
168.101904663,0.0000000
190.083848663,0.1887232
206.058338663,30.0793921
161.080834865,0.6056285
183.062778865,0.0000000
199.037268865,0.0000000
170.081169218,1.0785697
192.063113218,82.5591833
208.037603218,0.0000000
146.081169218,0.4152907
168.063113218,0.0000000
184.037603218,0.3237342
138.054954469,3.2879971
160.036898469,0.0293669
176.011388469,0.0000000
165.054620117,84.7078478
187.036564117,0.2217884
203.011054117,0.0000000
241.085920245,0.3534711
263.067864245,0.0881453
279.042354245,0.0000000
127.050203441,0.0000000
149.032147441,0.0000000
165.006637441,0.0000000
132.065519153,0.3704440
154.047463153,0.0000000
170.021953153,0.0000000
118.086254598,0.1555149
140.068198598,0.0000000
156.042688598,0.3847522
192.065519153,93.1193090
214.047463153,0.1033685
230.021953153,0.0000000
308.091082453,123.9775762
330.073026453,0.0741831
346.047516453,0.0486088
258.108446595,0.3200648
280.090390595,0.0579078
296.064880595,0.0367203
126.066187858,0.0000000
148.048131858,0.7658060
164.022621858,0.0000000
130.049869089,42.5247245
152.031813089,0.0000000
168.006303089,0.0000000
132.101904663,0.0857397
