"","compound_and_ion","Tissue","Genotype","n","mean_value","std_deviation"
"1","Lactate_0","CB","Control",8,0.597427680077737,0.0558965948850345
"2","Lactate_0","CB","Mutant",5,0.532984742411853,0.0946764985921859
"3","Lactate_2","CB","Control",8,0.0401016969335395,0.00700726383839154
"4","Lactate_2","CB","Mutant",5,0.0389391198895592,0.0113532016125841
"5","Lactate_3","CB","Control",8,0.327761543103445,0.0461901271749608
"6","Lactate_3","CB","Mutant",5,0.404067571054738,0.0804775040323435
"7","Ala_0","CB","Control",8,0.647853556689344,0.0465343274507878
"8","Ala_0","CB","Mutant",5,0.604901129042086,0.101976804157631
"9","Ala_2","CB","Control",8,0.0349028997518959,0.00510184608377167
"10","Ala_2","CB","Mutant",5,0.0309499004749939,0.00927016658779134
"11","Ala_3","CB","Control",8,0.284412581847261,0.0354912719058458
"12","Ala_3","CB","Mutant",5,0.346409541351914,0.0889807200918408
"13","Citrate_0","CB","Control",8,0.409396370970305,0.0525450983983417
"14","Citrate_0","CB","Mutant",5,0.634819816490955,0.0608619144061941
"15","Citrate_2","CB","Control",8,0.248510059757834,0.00960127082944413
"16","Citrate_2","CB","Mutant",5,0.16524669539536,0.0283387358540959
"17","Citrate_3","CB","Control",8,0.114057047948097,0.0180773605084998
"18","Citrate_3","CB","Mutant",5,0.0707812531556229,0.0191939471835264
"19","Glu_0","CB","Control",8,0.483693409186933,0.0566151213846534
"20","Glu_0","CB","Mutant",5,0.787020183303585,0.038380768235505
"21","Glu_2","CB","Control",8,0.255109197301293,0.0166662533529823
"22","Glu_2","CB","Mutant",5,0.105085049686401,0.0134350113030263
"23","Glu_3","CB","Control",8,0.0858583311011636,0.0185425587678908
"24","Glu_3","CB","Mutant",5,0.0368425604446538,0.0133737590780665
"25","GABA_0","CB","Control",8,0.382273795841064,0.0590666751660253
"26","GABA_0","CB","Mutant",5,0.658054938336398,0.106929655309911
"27","GABA_2","CB","Control",8,0.242369906861446,0.0170967860008585
"28","GABA_2","CB","Mutant",5,0.15466125981818,0.0383710650071658
"29","GABA_3","CB","Control",8,0.136061682268938,0.0276807369687732
"30","GABA_3","CB","Mutant",5,0.0624160528792752,0.0316297254114292
"31","Succinate_0","CB","Control",8,0.45772236662383,0.0571242264011581
"32","Succinate_0","CB","Mutant",5,0.665162871445143,0.0804486643360545
"33","Succinate_2","CB","Control",8,0.225423558650422,0.0187871272004023
"34","Succinate_2","CB","Mutant",5,0.135818635800378,0.0232412675322503
"35","Succinate_3","CB","Control",8,0.11245805956471,0.0227991817682726
"36","Succinate_3","CB","Mutant",5,0.075266321105253,0.02940020740269
"37","Fumarate_0","CB","Control",8,0.58403811825568,0.086766923131394
"38","Fumarate_0","CB","Mutant",5,0.78877345493285,0.0654773161070672
"39","Fumarate_2","CB","Control",8,0.166747466704291,0.032568799348288
"40","Fumarate_2","CB","Mutant",5,0.0714960642543081,0.0206313038175253
"41","Fumarate_3","CB","Control",8,0.0897177972824883,0.0274979984361434
"42","Fumarate_3","CB","Mutant",5,0.0623804083767043,0.0253346852451154
"43","Malate_0","CB","Control",8,0.491674197792045,0.0571823681628386
"44","Malate_0","CB","Mutant",5,0.759447628443602,0.0830265628192975
"45","Malate_2","CB","Control",8,0.204753311221725,0.0168449895083361
"46","Malate_2","CB","Mutant",5,0.0821742413360547,0.0244957160730438
"47","Malate_3","CB","Control",8,0.111897000871888,0.0221845519803901
"48","Malate_3","CB","Mutant",5,0.0742316581743883,0.0320361058867248
"49","Aspartate_0","CB","Control",8,0.493861053054795,0.0557441693204196
"50","Aspartate_0","CB","Mutant",5,0.902054447829554,0.0431590448001324
"51","Aspartate_2","CB","Control",8,0.212342913788992,0.0187034043240202
"52","Aspartate_2","CB","Mutant",5,0.0312709554522076,0.0134990430023211
"53","Aspartate_3","CB","Control",8,0.109070750585675,0.0219275489792533
"54","Aspartate_3","CB","Mutant",5,0.028495130707065,0.0135936818951104
"55","Gln_0","CB","Control",8,0.67472438785582,0.0475518140926282
"56","Gln_0","CB","Mutant",5,0.86476002452357,0.0302114984121173
