"","compound_and_ion","Tissue","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif"
"1","Lactate_0","CB","Control","Mutant",8,5,0.219,"ns",1,"ns"
"2","Lactate_0","CT","Control","Mutant",8,5,0.231,"ns",1,"ns"
"3","Lactate_0","HP","Control","Mutant",7,5,0.716,"ns",1,"ns"
"4","Lactate_2","CB","Control","Mutant",8,5,0.844,"ns",1,"ns"
"5","Lactate_2","CT","Control","Mutant",8,5,0.824,"ns",1,"ns"
"6","Lactate_2","HP","Control","Mutant",7,5,0.492,"ns",1,"ns"
"7","Lactate_3","CB","Control","Mutant",8,5,0.104,"ns",1,"ns"
"8","Lactate_3","CT","Control","Mutant",8,5,0.136,"ns",1,"ns"
"9","Lactate_3","HP","Control","Mutant",7,5,0.475,"ns",1,"ns"
"10","Ala_0","CB","Control","Mutant",8,5,0.416,"ns",1,"ns"
"11","Ala_0","CT","Control","Mutant",8,5,0.942,"ns",1,"ns"
"12","Ala_0","HP","Control","Mutant",7,5,0.542,"ns",1,"ns"
"13","Ala_2","CB","Control","Mutant",8,5,0.418,"ns",1,"ns"
"14","Ala_2","CT","Control","Mutant",8,5,0.121,"ns",1,"ns"
"15","Ala_2","HP","Control","Mutant",7,5,0.0789,"ns",1,"ns"
"16","Ala_3","CB","Control","Mutant",8,5,0.2,"ns",1,"ns"
"17","Ala_3","CT","Control","Mutant",8,5,0.688,"ns",1,"ns"
"18","Ala_3","HP","Control","Mutant",7,5,0.827,"ns",1,"ns"
"19","Citrate_0","CB","Control","Mutant",8,5,0.000163,"***",0.012062,"*"
"20","Citrate_0","CT","Control","Mutant",8,5,0.000307,"***",0.019648,"*"
"21","Citrate_0","HP","Control","Mutant",7,5,0.0252,"*",0.7056,"ns"
"22","Citrate_2","CB","Control","Mutant",8,5,0.00197,"**",0.09259,"ns"
"23","Citrate_2","CT","Control","Mutant",8,5,0.00154,"**",0.07854,"ns"
"24","Citrate_2","HP","Control","Mutant",7,5,0.0105,"*",0.3675,"ns"
"25","Citrate_3","CB","Control","Mutant",8,5,0.00351,"**",0.1404,"ns"
"26","Citrate_3","CT","Control","Mutant",8,5,0.00124,"**",0.06572,"ns"
"27","Citrate_3","HP","Control","Mutant",7,5,0.08,"ns",1,"ns"
"28","Glu_0","CB","Control","Mutant",8,5,2.08e-07,"****",1.8096e-05,"****"
"29","Glu_0","CT","Control","Mutant",8,5,0.000118,"***",0.009086,"**"
"30","Glu_0","HP","Control","Mutant",7,5,0.0056,"**",0.2128,"ns"
"31","Glu_2","CB","Control","Mutant",8,5,6e-09,"****",5.34e-07,"****"
"32","Glu_2","CT","Control","Mutant",8,5,0.000231,"***",0.015708,"*"
"33","Glu_2","HP","Control","Mutant",7,5,0.00315,"**",0.1323,"ns"
"34","Glu_3","CB","Control","Mutant",8,5,0.000204,"***",0.014484,"*"
"35","Glu_3","CT","Control","Mutant",8,5,0.000387,"***",0.023994,"*"
"36","Glu_3","HP","Control","Mutant",7,5,0.023,"*",0.667,"ns"
"37","GABA_0","CB","Control","Mutant",8,5,0.00235,"**",0.1081,"ns"
"38","GABA_0","CT","Control","Mutant",8,5,0.000504,"***",0.030744,"*"
"39","GABA_0","HP","Control","Mutant",7,5,0.00284,"**",0.12496,"ns"
"40","GABA_2","CB","Control","Mutant",8,5,0.00477,"**",0.18603,"ns"
"41","GABA_2","CT","Control","Mutant",8,5,0.00154,"**",0.07854,"ns"
"42","GABA_2","HP","Control","Mutant",7,5,0.0059,"**",0.2183,"ns"
"43","GABA_3","CB","Control","Mutant",8,5,0.0029,"**",0.12496,"ns"
"44","GABA_3","CT","Control","Mutant",8,5,0.000181,"***",0.013032,"*"
"45","GABA_3","HP","Control","Mutant",7,5,0.00163,"**",0.07987,"ns"
"46","Succinate_0","CB","Control","Mutant",8,5,0.00185,"**",0.0888,"ns"
"47","Succinate_0","CT","Control","Mutant",8,5,0.000813,"***",0.044715,"*"
"48","Succinate_0","HP","Control","Mutant",7,5,0.041,"*",1,"ns"
"49","Succinate_2","CB","Control","Mutant",8,5,0.000142,"***",0.01065,"*"
"50","Succinate_2","CT","Control","Mutant",8,5,0.000617,"***",0.035786,"*"
"51","Succinate_2","HP","Control","Mutant",7,5,0.0171,"*",0.5146,"ns"
"52","Succinate_3","CB","Control","Mutant",8,5,0.0466,"*",1,"ns"
"53","Succinate_3","CT","Control","Mutant",8,5,0.0166,"*",0.5146,"ns"
"54","Succinate_3","HP","Control","Mutant",7,5,0.22,"ns",1,"ns"
"55","Fumarate_0","CB","Control","Mutant",8,5,0.000617,"***",0.035786,"*"
"56","Fumarate_0","CT","Control","Mutant",8,5,0.000216,"***",0.01512,"*"
"57","Fumarate_0","HP","Control","Mutant",7,5,0.0131,"*",0.4224,"ns"
"58","Fumarate_2","CB","Control","Mutant",8,5,4.78e-05,"****",0.003824,"**"
"59","Fumarate_2","CT","Control","Mutant",8,5,6.59e-05,"****",0.0052061,"**"
"60","Fumarate_2","HP","Control","Mutant",7,5,0.0027,"**",0.1215,"ns"
"61","Fumarate_3","CB","Control","Mutant",8,5,0.0996,"ns",1,"ns"
