"Input.name","Standardized.name","Formula","Exact.mass","Super.class","Main.class","Sub.class","PubChem_CID","ChEBI_ID","HMDB_ID","LM_ID","KEGG_ID","INCHI_KEY","RefMet_ID"
"cis-Aconitic acid","cis-Aconitic acid","C6H6O6","174.0164","Organic acids","TCA acids","TCA acids","643757","32805","HMDB0000072",NA,"C00417","GTZCVFVGUGFEME-IWQZZHSRSA-N","RM0021619"
"cis-Aconitic acid","cis-Aconitic acid","C6H6O6","174.0164","Organic acids","TCA acids","TCA acids","643757","32805","HMDB0000072",NA,"C00417","GTZCVFVGUGFEME-IWQZZHSRSA-N","RM0021619"
"cis-Aconitic acid","cis-Aconitic acid","C6H6O6","174.0164","Organic acids","TCA acids","TCA acids","643757","32805","HMDB0000072",NA,"C00417","GTZCVFVGUGFEME-IWQZZHSRSA-N","RM0021619"
"Choline","Choline","C5H14NO","104.1075","Organic nitrogen compounds","Cholines","Cholines","305","15354","HMDB0000097",NA,"C00114","OEYIOHPDSNJKLS-UHFFFAOYSA-N","RM0028739"
"Choline","Choline","C5H14NO","104.1075","Organic nitrogen compounds","Cholines","Cholines","305","15354","HMDB0000097",NA,"C00114","OEYIOHPDSNJKLS-UHFFFAOYSA-N","RM0028739"
"Choline","Choline","C5H14NO","104.1075","Organic nitrogen compounds","Cholines","Cholines","305","15354","HMDB0000097",NA,"C00114","OEYIOHPDSNJKLS-UHFFFAOYSA-N","RM0028739"
"Spermine","Spermine","C10H26N4","202.2157","Alkaloids","Ornithine alkaloids","Polyamines","1103","15746","HMDB0001256",NA,"C00750","PFNFFQXMRSDOHW-UHFFFAOYSA-N","RM0033343"
"Spermine","Spermine","C10H26N4","202.2157","Alkaloids","Ornithine alkaloids","Polyamines","1103","15746","HMDB0001256",NA,"C00750","PFNFFQXMRSDOHW-UHFFFAOYSA-N","RM0033343"
"Spermine","Spermine","C10H26N4","202.2157","Alkaloids","Ornithine alkaloids","Polyamines","1103","15746","HMDB0001256",NA,"C00750","PFNFFQXMRSDOHW-UHFFFAOYSA-N","RM0033343"
"L-Carnitine","Carnitine","C7H15NO3","161.1052","Organic nitrogen compounds","Carnitines","Carnitines","10917","16347","HMDB0000062",NA,"C00487","PHIQHXFUZVPYII-ZCFIWIBFSA-N","RM0008606"
"L-Carnitine","Carnitine","C7H15NO3","161.1052","Organic nitrogen compounds","Carnitines","Carnitines","10917","16347","HMDB0000062",NA,"C00487","PHIQHXFUZVPYII-ZCFIWIBFSA-N","RM0008606"
"L-Carnitine","Carnitine","C7H15NO3","161.1052","Organic nitrogen compounds","Carnitines","Carnitines","10917","16347","HMDB0000062",NA,"C00487","PHIQHXFUZVPYII-ZCFIWIBFSA-N","RM0008606"
"Spermidine","Spermidine","C7H19N3","145.1579","Alkaloids","Ornithine alkaloids","Polyamines","1102","16610","HMDB0001257",NA,"C00315","ATHGHQPFGPMSJY-UHFFFAOYSA-N","RM0041813"
"Spermidine","Spermidine","C7H19N3","145.1579","Alkaloids","Ornithine alkaloids","Polyamines","1102","16610","HMDB0001257",NA,"C00315","ATHGHQPFGPMSJY-UHFFFAOYSA-N","RM0041813"
"Spermidine","Spermidine","C7H19N3","145.1579","Alkaloids","Ornithine alkaloids","Polyamines","1102","16610","HMDB0001257",NA,"C00315","ATHGHQPFGPMSJY-UHFFFAOYSA-N","RM0041813"
"L-Carnitine","Carnitine","C7H15NO3","161.1052","Organic nitrogen compounds","Carnitines","Carnitines","10917","16347","HMDB0000062",NA,"C00487","PHIQHXFUZVPYII-ZCFIWIBFSA-N","RM0008606"
"L-Carnitine","Carnitine","C7H15NO3","161.1052","Organic nitrogen compounds","Carnitines","Carnitines","10917","16347","HMDB0000062",NA,"C00487","PHIQHXFUZVPYII-ZCFIWIBFSA-N","RM0008606"
"L-Carnitine","Carnitine","C7H15NO3","161.1052","Organic nitrogen compounds","Carnitines","Carnitines","10917","16347","HMDB0000062",NA,"C00487","PHIQHXFUZVPYII-ZCFIWIBFSA-N","RM0008606"
"[2-(trimethylazaniumyl)ethoxy]phosphonic acid","N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium","C5H15NO4P","184.07387","Organic nitrogen compounds [C0004707]","Organonitrogen compounds [C0000278]","Quaternary ammonium salts [C0000503]","1014","18132","HMDB0001565",NA,NA,"YHHSONZFOIEMCP-UHFFFAOYSA-O","148427"
"[2-(trimethylazaniumyl)ethoxy]phosphonic acid","N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium","C5H15NO4P","184.07387","Organic nitrogen compounds [C0004707]","Organonitrogen compounds [C0000278]","Quaternary ammonium salts [C0000503]","1014","18132","HMDB0001565",NA,NA,"YHHSONZFOIEMCP-UHFFFAOYSA-O","148427"
"[2-(trimethylazaniumyl)ethoxy]phosphonic acid","N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium","C5H15NO4P","184.07387","Organic nitrogen compounds [C0004707]","Organonitrogen compounds [C0000278]","Quaternary ammonium salts [C0000503]","1014","18132","HMDB0001565",NA,NA,"YHHSONZFOIEMCP-UHFFFAOYSA-O","148427"
"Agmatine","Agmatine","C5H14N4","130.1218","Alkaloids","Ornithine alkaloids","Polyamines","199","17431","HMDB0001432",NA,"C00179","QYPPJABKJHAVHS-UHFFFAOYSA-N","RM0136100"
"Agmatine","Agmatine","C5H14N4","130.1218","Alkaloids","Ornithine alkaloids","Polyamines","199","17431","HMDB0001432",NA,"C00179","QYPPJABKJHAVHS-UHFFFAOYSA-N","RM0136100"
"Agmatine","Agmatine","C5H14N4","130.1218","Alkaloids","Ornithine alkaloids","Polyamines","199","17431","HMDB0001432",NA,"C00179","QYPPJABKJHAVHS-UHFFFAOYSA-N","RM0136100"
"AICAR","AICAR","C9H14N4O5","258.0964","Nucleic acids","Imidazoles","Imidazole ribonucleosides and ribonucleotides","17513","28498","HMDB0062179",NA,NA,"RTRQQBHATOEIAF-UUOKFMHZSA-N","RM0032849"
"AICAR","AICAR","C9H14N4O5","258.0964","Nucleic acids","Imidazoles","Imidazole ribonucleosides and ribonucleotides","17513","28498","HMDB0062179",NA,NA,"RTRQQBHATOEIAF-UUOKFMHZSA-N","RM0032849"
"AICAR","AICAR","C9H14N4O5","258.0964","Nucleic acids","Imidazoles","Imidazole ribonucleosides and ribonucleotides","17513","28498","HMDB0062179",NA,NA,"RTRQQBHATOEIAF-UUOKFMHZSA-N","RM0032849"
"1,3-Dimethyluric acid","1,3-Dimethyluric acid","C7H8N4O3","196.0596","Nucleic acids","Purines","Xanthines","70346","68447","HMDB0001857",NA,NA,"OTSBKHHWSQYEHK-UHFFFAOYSA-N","RM0136120"
