"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10"
"GABA_0",108.63966578,14.5596212,14.96034352,3.78082307,23.18799,20.35017741,7.4347945,13.38899695,16.73228271,19.65368816
"GABA_1",103.20757521,1.72677741,0.76107012,1.08900478,5.43846282,7.13826633,4.06064356,3.92104988,2.96511807,5.34104549
"GABA_2",103.88246343,3.97233819,2.05870803,1.93157756,12.15326878,13.40217046,5.83417774,8.27701223,7.09988477,12.24970966
"GABA_3",104.74490201,0.73780867,0.2683987,0.5988864,4.21627825,3.43965978,3.20129592,3.39779422,2.86470808,4.93324103
"GABA_4",111.38812121,0.15665267,0.25833875,0.12035043,1.29575806,1.88292222,1.07745862,0.60412899,0.26528913,0.91272758
"Glutamate_0",157.01745079,21.18137459,18.97654125,14.24346996,30.3372211,30.82179524,23.77870939,37.67641002,53.34114067,28.5426657
"Glutamate_1",146.92224759,0.69566091,0,0.18583311,5.13957338,1.33412937,2.922586,6.33265921,1.90617439,2.84592821
"Glutamate_2",146.93253576,8.89749495,5.12503726,5.10227024,22.40627426,20.76593426,14.05253008,36.59882224,32.0550152,20.97234163
"Glutamate_3",147.95634353,1.19128132,0.56072092,0.78689259,7.12608391,5.14792983,4.14759164,11.82485204,5.64986404,5.85120798
"Glutamate_4",148.67817243,0.45687975,0.12297596,0.27011958,4.27424024,2.22541884,2.91545609,5.66845802,2.29790493,2.8151241
"Glutamate_5",159.36606177,0.03209294,0,0.03064323,0.72589954,0.53760349,0.47311215,0.61118265,0.07887935,0.24895165
"Glutamine_0",156.19307983,80.66459959,100.87792702,97.00659201,64.67851268,61.02332439,56.69016028,76.03791236,92.23069807,119.55918271
"Glutamine_1",145.59452083,15.32715263,12.00805497,7.52353405,25.18071819,25.99036101,19.29486517,31.21482093,46.0747774,19.14223296
"Glutamine_2",145.98543088,35.91670319,29.69680794,26.9953457,53.91556448,47.46285361,44.73282411,83.21724826,69.94012862,89.86493666
"Glutamine_3",146.97971307,7.47377744,3.94672441,4.01427538,20.40874641,18.87386071,12.34380822,33.40392846,29.30201954,17.36961887
"Glutamine_4",147.69629668,1.08469574,0.44041744,0.68925617,7.19735986,5.13267096,4.12761454,11.91940176,5.61115048,5.64916458
"Glutamine_5",158.28716956,0,0.00358528,0,0.37062035,0.29183264,0.46227851,0,0,0
