"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10"
"GABA_0",0.204262604116028,0.688294086957387,0.817198811764276,0.502726090318584,0.500909687747911,0.44035425123874,0.344070116488016,0.452499407645223,0.559097959015642,0.45610351083411
"GABA_1",0.194049272202164,0.081631978227194,0.0415729489701781,0.144802098710123,0.117482313602638,0.154463809408621,0.187919935474412,0.132517226994168,0.0990774235595855,0.123949743156691
"GABA_2",0.195318186500774,0.18778901250343,0.112455556494172,0.256836783130905,0.262536341860862,0.290007434283457,0.269996193521367,0.279732913909377,0.237237868433866,0.284279242508573
"GABA_3",0.196939730059254,0.0348792965071711,0.0146611004236537,0.0796323479947904,0.0910805387472485,0.0744302507256575,0.148150733703132,0.114833088512307,0.095722291361142,0.114485817382272
"GABA_4",0.20943020712178,0.00740562580481743,0.0141115823477206,0.0160026798455979,0.0279911180413412,0.0407442543435245,0.0498630208130726,0.0204173629389248,0.00886445762976445,0.0211816861183535
"Glutamate_0",0.173141645371665,0.652642590065748,0.765637700263616,0.69078577866941,0.433331348553954,0.506663997900739,0.49241492242449,0.381678654942604,0.559548014303291,0.465803309016718
"Glutamate_1",0.162009761089917,0.0214347721476133,0,0.00901261209202621,0.0734127313904635,0.0219310820494892,0.0605215756189912,0.0641526315325595,0.0199957496492039,0.0464442526628487
"Glutamate_2",0.162021105756849,0.274150486531994,0.206777499114163,0.247452041575419,0.320047146347084,0.341360754310025,0.291002989090781,0.370762215339291,0.336256778132784,0.342259066891677
"Glutamate_3",0.163150048819866,0.0367058768012536,0.0226231466536874,0.0381630467883781,0.10178768650069,0.0846242306222093,0.0858892710349518,0.119790967853006,0.0592670153835608,0.0954890502336307
"Glutamate_4",0.163946002663175,0.0140774236403602,0.00496165396853394,0.0131003726569557,0.0610524702027759,0.0365825415975356,0.0603739278210404,0.0574239804568359,0.0241049989649433,0.0459415436124703
"Glutamate_5",0.175731436298528,0.00098885081303048,0,0.00148614821781081,0.0103686170050326,0.00883739352000153,0.00979731400974633,0.00619154987570274,0.000827443566216379,0.00406277758265486
"Glutamine_0",0.173406018264332,0.574260435532458,0.686368054857243,0.712084722437951,0.376581889570082,0.384338602096401,0.411838151754734,0.322476968448408,0.379302364916006,0.475223555395376
"Glutamine_1",0.161639466778633,0.109115738372393,0.0817021679157196,0.055227109258662,0.146611324902252,0.163693130756428,0.140171796493809,0.132382130331364,0.189484330017048,0.0760865020926317
"Glutamine_2",0.162073456269997,0.255695084604825,0.202055503154876,0.198161515125894,0.313916079820344,0.298931711608993,0.324971450305309,0.352924549196597,0.287631523378056,0.357194936741346
"Glutamine_3",0.16317731129217,0.0532066694632068,0.026853303159295,0.0294671126005759,0.11882716482457,0.118871813588581,0.0896743127525285,0.141666140609549,0.120505705160137,0.0690407198189521
"Glutamine_4",0.163972864531141,0.00772207202711785,0.00299657685826628,0.00505954057691769,0.0419056540369824,0.032326714440855,0.0299859646702972,0.0505502114140818,0.0230760765287525,0.0224542859516945
"Glutamine_5",0.175730882863729,0,2.43940546005738e-05,0,0.00215788684576977,0.00183802750874193,0.00335832402332259,0,0,0
