"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10"
"GABA_0",0,0,0,0,0,0,0,0,0,0
"GABA_1",0,0,0,0,0,0,0,0,0,0
"GABA_2",0,0,0,0,0,0,0,0,0,0
"GABA_3",0,0,0,0,0,0,0,0,0,0
"GABA_4",0,0,0,0,0,0,0,0,0,0
"Glutamate_0",0,0,-0.00264897,0,0,0,0,0,0,0
"Glutamate_1",0,0,-Inf,0,0,0,0,0,0,0
"Glutamate_2",0,0,-0.00329387,0,0,0,0,0,0,0
"Glutamate_3",0,0,0.00034158,0,0,0,0,0,0,0
"Glutamate_4",0,0,-0.00114144,0,0,0,0,0,0,0
"Glutamate_5",0,0,Inf,0,0,0,0,0,0,0
"Glutamine_0",0,0,0,0,0,0,0,0,0,0
"Glutamine_1",0,3e-08,0,3e-08,0,0,0,3.1e-07,1.6e-07,2.3e-07
"Glutamine_2",0,7e-08,0,5e-08,0,0,0,6.2e-07,5.5e-07,2.5e-07
"Glutamine_3",0,-1.633e-05,0,-1.604e-05,0,0,0,-7.211e-05,-6.141e-05,-6.181e-05
"Glutamine_4",0,-0.00039203,0,-0.00032538,0,0,0,-0.00070415,-0.00111739,-0.00066212
"Glutamine_5",0,Inf,0,Inf,0,0,0,Inf,Inf,Inf
