"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10"
"GABA_0",0,0,0,0,0,0,0,0,0,0
"GABA_1",0,0,0,0,0,0,0,0,0,0
"GABA_2",0,0,0,0,0,0,0,0,0,0
"GABA_3",0,0,0,0,0,0,0,0,0,0
"GABA_4",0,0,0,0,0,0,0,0,0,0
"Glutamate_0",0,0,-0.05026828,0,0,0,0,0,0,0
"Glutamate_1",0,0,0.83593101,0,0,0,0,0,0,0
"Glutamate_2",0,0,-0.01688123,0,0,0,0,0,0,0
"Glutamate_3",0,0,0.00019153,0,0,0,0,0,0,0
"Glutamate_4",0,0,-0.00014037,0,0,0,0,0,0,0
"Glutamate_5",0,0,0.00802208,0,0,0,0,0,0,0
"Glutamine_0",0,-1e-08,0,-1e-08,0,0,0,-2e-07,-1.5e-07,-9e-08
"Glutamine_1",0,4.9e-07,0,2.6e-07,0,0,0,9.68e-06,7.23e-06,4.31e-06
"Glutamine_2",0,2.6e-06,0,1.37e-06,0,0,0,5.133e-05,3.835e-05,2.288e-05
"Glutamine_3",0,-0.00012205,0,-6.437e-05,0,0,0,-0.00240888,-0.0017995,-0.00107354
"Glutamine_4",0,-0.00042523,0,-0.00022427,0,0,0,-0.00839303,-0.00626984,-0.00374042
"Glutamine_5",0,0.02074719,0,0.01094229,0,0,0,0.40949944,0.30590811,0.18249691
