Cluster Number,Color Value (Red),Color Value (Green),Color Value (Blue),All,Total Pixels
1,192,34,130,7408,7408
2,216,68,124,4299,4299
3,15,65,127,2304,2304
4,238,154,235,5568,5568
5,185,77,109,5138,5138
6,225,200,171,3623,3623
7,171,29,54,6372,6372
8,205,99,155,5983,5983
9,140,18,65,3705,3705
10,220,138,191,5245,5245
11,206,52,164,7150,7150
12,39,54,112,2509,2509
13,230,112,222,5795,5795
14,219,80,194,6911,6911
15,142,18,20,6413,6413
16,213,156,147,4109,4109
17,205,116,116,4632,4632
18,241,200,231,3369,3369
19,174,25,96,6932,6932
20,195,54,79,5213,5213
