m/z,Intensity
175.023713911,0.0000000
197.005657911,2.7168916
212.980147911,0.0000000
105.114815075,0.0035020
127.096759075,0.0000000
143.071249075,1.9949724
203.223022856,7832.0627178
225.204966856,0.2222628
241.179456856,0.0259201
162.112469347,0.3974804
184.094413347,0.2867774
200.068903347,0.0508914
146.165173626,2815.3637003
168.147117626,0.1110300
184.121607626,0.0718973
149.044449356,0.0481308
171.026393356,0.0000000
187.000883356,0.0000000
185.081145965,48.0791955
207.063089965,0.3249665
223.037579965,0.4948401
131.129122469,0.0467568
153.111066469,0.3203575
169.085556469,0.2227468
339.070026456,0.0000000
361.051970456,0.0000000
377.026460456,0.0000000
197.066916134,6.0465533
219.048860134,0.0000000
235.023350134,0.3415386
102.054954469,0.1660350
124.036898469,0.0000000
140.011388469,0.0492915
170.092402607,6.0093946
192.074346607,1.5871105
208.048836607,0.0000000
132.076752543,7990.3074900
154.058696543,6.0210843
170.033186543,47.4094776
168.989650877,0.0000000
190.971594877,0.0000000
206.946084877,0.0000000
104.070604534,7.5219417
126.052548534,0.0000000
142.027038534,1.2645105
126.021940263,0.0479977
148.003884263,0.1075953
163.978374263,0.0856552
412.041777079,0.0000000
434.023721079,0.0000000
228.097881911,0.2847986
250.079825911,22.7425933
266.054315911,0.0000000
253.093130883,0.1091456
275.075074883,0.0511357
291.049564883,0.0000000
193.034278595,0.0000000
215.016222595,0.0000000
230.990712595,0.0000000
114.066187858,120.4170809
136.048131858,1.1417383
152.022621858,0.8349267
177.075749485,0.0749575
199.057693485,0.0000000
215.032183485,0.0000000
187.000215561,0.0000000
208.982159561,0.0000000
224.956649561,0.0000000
167.070270181,0.0839801
189.052214181,2.7386399
205.026704181,0.0000000
169.049534736,0.0276573
191.031478736,115.3899267
207.005968736,0.0270528
105.054620117,0.0000000
127.036564117,0.0234982
143.011054117,0.0000000
189.148520503,0.0000000
211.130464503,0.0813980
227.104954503,1.9896533
153.054620117,0.1915969
175.036564117,0.1470017
191.011054117,0.0000000
168.101904663,0.1047098
190.083848663,0.0846993
206.058338663,36.9048838
161.080834865,0.2884321
183.062778865,0.1061281
199.037268865,0.0081341
170.081169218,1.1417469
192.063113218,73.6635250
208.037603218,0.0051438
146.081169218,0.2727035
168.063113218,0.0078400
184.037603218,0.0420772
138.054954469,13.4643484
160.036898469,0.0450013
176.011388469,0.0141085
165.054620117,73.1958718
187.036564117,0.1457007
203.011054117,0.0193773
241.085920245,0.2654939
263.067864245,0.1220298
279.042354245,0.0000000
127.050203441,0.0000000
149.032147441,0.0000000
165.006637441,0.0000000
132.065519153,0.6778278
154.047463153,0.0293963
170.021953153,0.0000000
118.086254598,0.1793013
140.068198598,0.0000000
156.042688598,0.1836982
192.065519153,83.2829649
214.047463153,0.0507795
230.021953153,0.0274834
308.091082453,160.7787573
330.073026453,0.1319770
346.047516453,0.0435434
258.108446595,0.4503846
280.090390595,0.1289289
296.064880595,0.0132608
126.066187858,0.0000000
148.048131858,1.0414799
164.022621858,0.0000000
130.049869089,55.0874456
152.031813089,0.0201031
168.006303089,0.0000000
132.101904663,0.0133447
154.083848663,0.0460220
170.058338663,65.7081268
137.045786766,0.4801751
159.027730766,0.0143706
175.002220766,0.0000000
277.031909613,0.0137153
299.013853613,0.0000000
314.988343613,0.0000000
204.123034031,0.1246302
226.104978031,0.0823681
242.079468031,0.4940172
164.128119411,0.0000000
186.110063411,0.0448561
202.084553411,0.0652183
268.104029919,55.0080884
290.085973919,0.7133031
306.060463919,0.0000000
428.036691698,0.0000000
147.065184801,439.9567150
169.047128801,0.0371525
185.021618801,0.0966822
159.051266070,0.0603578
181.033210070,0.0216106
197.007700070,1.7570144
261.036994994,0.0000000
283.018938994,0.0000000
298.993428994,0.0000000
147.028799291,0.0871443
169.010743291,0.0000000
184.985233291,0.0000000
189.112134994,1.0657165
211.094078994,4.6604712
227.068568994,0.1908256
123.044055433,10.5184340
145.025999433,0.1699445
161.000489433,0.0000000
119.070270181,0.2661696
141.052214181,0.0007150
157.026704181,0.0227724
89.107324396,0.6931002
111.089268396,0.0539821
127.063758396,0.0000000
89.059705497,0.0637115
111.041649497,0.0000000
127.016139497,0.0000000
404.025458309,0.0000000
426.007402309,0.0000000
441.981892309,0.0000000
190.049869089,1602.8770530
212.031813089,847.3687298
228.006303089,759.6424075
355.102358156,3.4445594
377.084302156,0.3357948
393.058792156,0.0234570
409.294850387,0.0000000
431.276794387,0.0000000
447.251284387,0.0000000
387.362142102,0.0413402
409.344086102,0.0000000
425.318576102,0.0100493
126.031456119,0.0000000
148.013400119,0.0000000
163.987890119,0.0000000
176.102967291,5.6727151
198.084911291,3.7121422
214.059401291,0.0176918
427.095182032,0.0000000
449.077126032,0.0000000
244.092796530,0.2958002
266.074740530,0.3851507
282.049230530,0.0000000
324.059127419,0.0000000
346.041071419,0.0533843
362.015561419,0.0000000
112.050537794,0.2659762
134.032481794,0.0000000
150.006971794,0.0000000
193.070664104,2.0684806
215.052608104,0.0000000
231.027098104,0.0000000
255.065184801,0.0428495
277.047128801,0.0000000
293.021618801,0.0141099
161.092068254,0.2870856
183.074012254,0.1221088
199.048502254,0.0009216
308.064212800,0.0000000
330.046156800,0.0000000
346.020646800,0.0000000
171.005300941,0.0000000
192.987244941,0.0000000
208.961734941,0.0000000
154.086254598,0.0373269
176.068198598,0.3270049
192.042688598,0.3951088
291.086314169,0.3457891
313.068258169,0.0000000
329.042748169,0.0219813
443.097272776,0.0000000
307.081228788,0.0600578
329.063172788,0.5348129
345.037662788,0.0000000
303.013543150,0.0000000
324.995487150,0.0000000
340.969977150,0.0000000
243.101570310,0.0138538
265.083514310,0.7643087
281.058004310,0.0013189
289.070664104,0.0224842
311.052608104,0.0000000
327.027098104,0.0000000
133.049534736,0.4822645
155.031478736,0.3561760
171.005968736,0.0000000
287.055014040,0.0018380
309.036958040,0.0000000
325.011448040,0.0000000
442.146957361,0.0101195
271.060099420,0.0000000
293.042043420,0.0000000
309.016533420,0.0000000
197.065578724,3.9339643
219.047522724,0.0000000
235.022012724,0.3433695
148.060433773,60.9692966
170.042377773,0.1749312
186.016867773,0.0740179
147.076418190,276.0441388
169.058362190,0.3023105
185.032852190,1.5826282
76.039304405,0.3281161
98.021248405,0.0000000
113.995738405,0.0000000
152.056685803,0.6415041
174.038629803,0.0000000
190.013119803,0.0237594
284.098944539,0.8893696
306.080888539,0.1341850
322.055378539,0.0000000
444.031606318,0.0000000
364.065275428,0.0000000
386.047219428,0.0171289
402.021709428,0.0000000
179.055014040,0.0761242
201.036958040,0.0000000
217.011448040,0.0000000
303.086314169,0.0246636
325.068258169,0.0000000
341.042748169,0.0000000
112.086923303,0.4447959
134.068867303,0.0043657
150.043357303,0.0000000
156.076752543,184.7126629
178.058696543,0.0441059
194.033186543,0.0000000
190.118617355,382.1482974
212.100561355,1.3892057
228.075051355,0.3649693
393.299935767,35.1659363
415.281879767,0.0000000
431.256369767,0.0000000
110.027025644,0.0000000
132.008969644,0.0000000
147.983459644,0.0000000
176.070604534,0.4297307
